id,sucursal,nombre,apellido,sexo,nacimiento,nacionalidad,departamento,salario,comision,correo,telefono,puesto,direccion,contratacion,telefono_personal,codigo_postal,vehiculo_asignado,hijos,flota
33-9247082,C,Ewan,Killoran,M,1989-07-03,United States,Marketing,47572,0.87,ekilloran6@amazon.co.uk,2601841367.0,Systems Administrator II,17625 Helena Road,2024-10-11,,,,,
04-5323286,C,Joelie,List,F,1999-09-12,United States,Research and Development,59465,0.53,jlist7@bloomberg.com,8136303828.0,Environmental Tech,96 Acker Road,2023-04-27,,,,,
10-0019811,C,Tulley,Giacobillo,M,1994-04-23,United States,Sales,78041,0.71,tgiacobillo8@cnet.com,5622004058.0,Quality Control Specialist,58662 Esker Drive,2021-12-13,,,,,
65-9086309,C,Teddie,Durbann,M,1986-01-09,United States,Marketing,42928,0.26,tdurbann9@yandex.ru,2123641684.0,Senior Sales Associate,8 Nova Park,2019-08-07,,,,,
78-5459961,D,Chrystel,Aikman,F,1986-04-22,United States,Product Management,37140,0.77,caikman0@howstuffworks.com,7146621912.0,Internal Auditor,09 Schiller Park,2021-07-31,,,,,
91-9571840,D,Joell,Dancy,F,2001-09-17,United States,Training,74899,0.76,jdancy1@ebay.com,4148613512.0,Internal Auditor,143 Sunfield Point,2020-04-04,,,,,
72-1063019,D,Andrus,Du Hamel,M,1980-09-11,Dominican Republic,Support,22927,0.4,aduhamel2@utexas.edu,2511781870.0,Speech Pathologist,3 Cascade Park,2021-10-14,,,,,
98-4636124,D,Myrle,Ledwich,F,2000-12-16,United States,Business Development,34191,0.08,mledwich3@cisco.com,7022286761.0,Web Designer II,788 Cherokee Point,2021-06-06,,,,,
34-2320398,D,Patin,Local,M,1998-09-04,United States,Engineering,50737,0.08,plocal4@wunderground.com,5127834736.0,General Manager,17335 Towne Place,2021-03-26,,,,,
04-7509835,D,Lishe,Dowty,F,2002-07-06,United States,Business Development,36130,0.35,ldowty5@fc2.com,6167258132.0,VP Product Management,6 8th Lane,2024-09-18,,,,,
19-7854964,D,Sheffield,Gration,M,1983-07-17,United States,Training,28484,0.5,sgration6@123-reg.co.uk,2039839297.0,Software Test Engineer IV,75635 Sunfield Place,2024-01-12,,,,,
44-3478985,D,Aurilia,Loggie,F,1979-03-07,United States,Human Resources,59739,0.37,aloggie7@xinhuanet.com,5627566644.0,Professor,16842 Miller Parkway,2019-07-08,,,,,
04-2721911,D,Barth,Hyrons,M,1999-07-20,United States,Sales,26721,0.41,bhyrons8@slashdot.org,7131309673.0,Geological Engineer,81 Fuller Lane,2024-10-12,,,,,
90-3763598,D,Sharlene,Chellam,F,1989-10-30,Italy,Human Resources,53398,0.93,schellam9@patch.com,2112535599.0,Graphic Designer,03236 Tony Center,2024-08-19,,,,,
93-3232477,E,Marylin,Brilon,F,1999-09-06,United States,Research and Development,28203,0.48,mbrilon0@discovery.com,7274178337.0,Environmental Specialist,4042 Jackson Parkway,2019-04-04,,,,,
73-1937833,E,Hoebart,Murfill,M,1997-09-15,Haiti,Human Resources,74701,0.2,hmurfill1@mail.ru,4998017306.0,VP Sales,00 Springview Park,2023-12-17,,,,,
50-3148448,E,Shel,Bilbery,F,1997-05-16,Italy,Services,65303,0.66,sbilbery2@businesswire.com,4421855424.0,Chemical Engineer,30140 Bowman Point,2023-06-23,,,,,
14-9023897,E,Karia,de Clerc,F,2004-02-04,United States,Product Management,29358,0.47,kdeclerc3@vinaora.com,3076014381.0,Professor,2821 Dakota Drive,2019-10-28,,,,,
00-8314362,E,Ciro,Batie,M,1983-10-08,Haiti,Business Development,52502,0.14,cbatie4@youtube.com,1182676662.0,Media Manager II,3675 Utah Alley,2021-02-16,,,,,
58-3345781,E,Jozef,Gawthorp,M,1992-06-20,United States,Business Development,49155,0.11,jgawthorp5@usgs.gov,7068356686.0,VP Product Management,211 Vera Circle,2024-06-23,,,,,
27-7801766,E,Perri,Rosenhaus,F,1978-11-07,United States,Research and Development,12590,0.13,prosenhaus6@reference.com,7752786453.0,Desktop Support Technician,5 Welch Hill,2021-07-17,,,,,
44-6549641,E,Amanda,Masedon,F,1976-10-04,United States,Accounting,54437,0.27,amasedon7@macromedia.com,4129256582.0,Electrical Engineer,91959 Lakewood Court,2022-06-16,,,,,
87-7210605,E,Alley,Smewin,M,1976-01-30,Italy,Human Resources,56349,0.08,asmewin8@flavors.me,7394882131.0,Occupational Therapist,70510 Golf Junction,2022-10-16,,,,,
66-1008276,E,Daveen,Proffitt,F,1981-02-27,United States,Support,72176,0.91,dproffitt9@google.it,2026276751.0,Financial Advisor,8300 Cambridge Terrace,2020-11-10,,,,,
97-6655926,F,Heywood,Speaks,M,2003-07-05,United States,Legal,75816,0.66,hspeaks0@cornell.edu,8139188433.0,Teacher,85 Crescent Oaks Drive,2024-04-02,,,,,
79-3781698,F,Rutledge,Slora,M,1988-09-02,United States,Legal,33180,0.13,rslora1@sciencedirect.com,5162011183.0,Quality Engineer,068 New Castle Pass,2021-06-21,,,,,
15-2318490,F,Jenifer,Carder,F,1992-11-01,United States,Human Resources,54507,0.89,jcarder2@t.co,9135417262.0,Recruiting Manager,091 Eliot Street,2024-10-01,,,,,
86-2640869,F,Ryun,Patterfield,M,1998-02-07,Dominican Republic,Sales,40650,0.2,rpatterfield3@vimeo.com,1514714583.0,Accounting Assistant I,0 Leroy Plaza,2024-06-27,,,,,
51-3662457,F,Heindrick,Scarr,M,1981-03-28,United States,Engineering,22070,0.98,hscarr4@histats.com,5403596358.0,Professor,5 Fairfield Parkway,2019-06-07,,,,,
02-4260277,F,Emanuel,Bothams,M,2002-12-22,Dominican Republic,Marketing,21108,0.64,ebothams5@nps.gov,8482919211.0,Human Resources Manager,4 Myrtle Junction,2023-04-13,,,,,
18-9731608,F,Consuela,Dumini,F,1975-10-15,Haiti,Accounting,60222,0.93,cdumini6@ifeng.com,3909418969.0,Software Test Engineer III,8087 Shopko Junction,2023-01-18,,,,,
81-6787276,F,Lezley,Honywill,M,1988-01-24,United States,Product Management,62677,0.04,lhonywill7@state.tx.us,8655555158.0,Health Coach IV,6683 Warbler Trail,2022-06-27,,,,,
15-7972653,F,Waverley,Belcher,M,1998-04-27,United States,Human Resources,39906,0.15,wbelcher8@cbslocal.com,9158445007.0,Research Assistant III,58 Eagle Crest Crossing,2021-08-16,,,,,
36-5333346,F,Dianne,Brownsell,F,1996-08-22,United States,Research and Development,74469,0.38,dbrownsell9@nyu.edu,4158679840.0,VP Accounting,60 Dennis Court,2023-02-26,,,,,
21-8439190,G,Chan,Bomb,M,1999-08-02,United States,Services,48983,0.1,cbomb0@comcast.net,6169094258.0,Chemical Engineer,79297 Johnson Avenue,2023-12-23,,,,,
62-9191738,G,Tonnie,Lafay,M,1979-04-26,Haiti,Engineering,44817,0.76,tlafay1@freewebs.com,5589103274.0,Occupational Therapist,9 Packers Court,2023-04-03,,,,,
29-8881205,G,Fredek,Rulten,M,1992-03-27,United States,Marketing,38577,0.54,frulten2@163.com,9544138215.0,Statistician IV,4 Dawn Way,2022-01-29,,,,,
52-4537395,G,Deane,Fenton,F,1992-02-27,Dominican Republic,Product Management,77038,0.53,dfenton3@smh.com.au,6626837447.0,Marketing Assistant,478 Haas Way,2023-09-06,,,,,
36-7630517,G,Sunny,Cansdell,F,1986-12-11,United States,Support,31601,0.16,scansdell4@shareasale.com,2022728675.0,Computer Systems Analyst II,484 Twin Pines Avenue,2023-08-12,,,,,
21-0517711,G,Jordan,Antao,M,1987-11-29,United States,Legal,37618,0.27,jantao5@instagram.com,5858179256.0,Research Nurse,20555 Thierer Crossing,2020-03-08,,,,,
69-0699283,G,Norma,Petrozzi,F,1987-06-01,United States,Sales,73149,0.26,npetrozzi6@cafepress.com,3363388002.0,Mechanical Systems Engineer,66 Golf Center,2022-01-13,,,,,
99-3140169,G,Frankie,Kipling,M,1979-05-16,United States,Sales,22505,0.2,fkipling7@yahoo.co.jp,4078547067.0,Nurse,919 Crowley Street,2024-07-02,,,,,
84-9995228,G,Roi,Cozins,M,1984-04-06,Dominican Republic,Legal,13438,0.55,rcozins8@eventbrite.com,6328597167.0,GIS Technical Architect,4451 Cordelia Hill,2024-11-22,,,,,
78-5368317,G,Tommy,Lendrem,F,1989-02-18,United States,Research and Development,53312,0.43,tlendrem9@miibeian.gov.cn,3307209305.0,Community Outreach Specialist,3294 Pankratz Way,2023-08-21,,,,,
35-6126375,H,Ulrick,Estoile,M,1990-02-04,United States,Sales,18704,0.78,uestoile0@home.pl,5739841339.0,Physical Therapy Assistant,408 Mosinee Avenue,2023-05-09,,,,,
43-5553068,H,Abie,Scurrey,M,1987-10-05,United States,Marketing,44652,0.51,ascurrey1@adobe.com,3181298737.0,Assistant Manager,949 Ronald Regan Drive,2021-09-03,,,,,
35-1306564,H,Helena,Pirazzi,F,1977-07-09,United States,Human Resources,36799,0.8,hpirazzi2@prweb.com,8087193189.0,VP Product Management,63 Bultman Street,2024-03-30,,,,,
04-7088264,H,Tomlin,Gainseford,M,1987-12-06,United States,Human Resources,21271,0.34,tgainseford3@uiuc.edu,8127190721.0,Help Desk Technician,2621 Eagle Crest Lane,2024-04-17,,,,,
16-5172594,H,Eli,Picard,M,1991-04-19,Haiti,Product Management,43402,0.16,epicard4@smh.com.au,6689667793.0,VP Marketing,3751 Maryland Lane,2021-08-23,,,,,
10-0613342,H,Datha,Greenhough,F,1978-08-01,United States,Accounting,39624,0.15,dgreenhough5@si.edu,2134081191.0,Tax Accountant,34631 Melody Way,2023-01-17,,,,,
99-7227153,H,Toddy,Targett,M,1978-02-25,United States,Sales,77459,0.31,ttargett6@sun.com,7146573130.0,Administrative Officer,02 5th Alley,2020-10-29,,,,,
23-0049207,H,Kattie,Cray,F,1991-11-02,United States,Sales,22294,0.3,kcray7@blogtalkradio.com,3165211147.0,Accounting Assistant IV,68 Farmco Trail,2021-12-26,,,,,
22-5897994,H,Perkin,Cullagh,M,1984-02-27,United States,Business Development,29312,0.05,pcullagh8@tripod.com,6165433050.0,Assistant Media Planner,1472 Sheridan Lane,2019-01-27,,,,,
04-4510077,H,Gerald,Ossipenko,M,2003-02-13,Dominican Republic,Research and Development,13010,0.84,gossipenko9@dedecms.com,3797952036.0,Chief Design Engineer,31430 Hansons Lane,2023-02-23,,,,,
14-7026110,I,Eveline,Claughton,F,1989-08-15,United States,Marketing,46289,0.74,eclaughton0@forbes.com,9078743295.0,Mechanical Systems Engineer,14647 Sauthoff Junction,2021-06-11,,,,,
99-8664666,I,Luis,Mulran,M,2005-09-10,United States,Training,14433,0.82,lmulran1@intel.com,4052375115.0,Project Manager,10 Sunnyside Circle,2020-08-25,,,,,
59-6399780,I,Wernher,Osbourn,M,1992-04-26,United States,Accounting,37458,0.6,wosbourn2@pinterest.com,4697149403.0,Senior Developer,83 Mallard Center,2024-11-22,,,,,
85-1089220,I,Frederico,Pigdon,M,2000-10-11,United States,Sales,35891,0.82,fpigdon3@nature.com,3169129669.0,Nuclear Power Engineer,1 4th Center,2019-08-02,,,,,
77-1986918,I,Olivier,Khidr,M,2000-06-17,United States,Research and Development,70380,0.79,okhidr4@cocolog-nifty.com,6025770561.0,Quality Engineer,0 Prentice Park,2022-02-21,,,,,
69-4732589,I,Madison,Torresi,M,1988-05-14,United States,Training,35892,0.41,mtorresi5@bbb.org,3183039908.0,VP Quality Control,515 Utah Park,2020-03-18,,,,,
44-3135439,I,Justine,Cardenas,F,1993-10-27,United States,Sales,25499,0.2,jcardenas6@mtv.com,4053238606.0,Civil Engineer,6659 Del Sol Way,2024-04-08,,,,,
33-4532106,I,Jilleen,Stebbings,F,1999-12-31,United States,Engineering,61688,0.21,jstebbings7@blog.com,5711788481.0,Systems Administrator I,089 Clove Center,2021-01-17,,,,,
62-4197235,I,Reynold,Sabater,M,1987-01-10,United States,Product Management,13879,0.7,rsabater8@ucoz.com,3032496315.0,Senior Editor,736 Dennis Plaza,2019-10-22,,,,,
29-0623737,I,Nicolai,Mayward,M,1991-05-04,United States,Accounting,69571,0.74,nmayward9@weibo.com,7138251457.0,Programmer I,68 Helena Point,2024-08-01,,,,,
34-2007879,J,Rockie,Faro,M,1996-05-20,United States,Accounting,69317,0.52,rfaro0@walmart.com,7817872545.0,Human Resources Manager,940 Drewry Lane,2019-05-23,,,,,
81-7606557,J,Dennie,Chatel,M,1983-05-04,United States,Human Resources,74713,0.26,dchatel1@histats.com,4154234413.0,VP Accounting,5 Hermina Avenue,2023-09-26,,,,,
90-6094406,J,Ernestus,Braidley,M,1978-06-11,United States,Human Resources,55882,0.55,ebraidley2@hibu.com,8172232339.0,Help Desk Operator,687 Magdeline Junction,2022-02-01,,,,,
47-9054500,J,Wyatt,Gregh,M,2005-12-01,United States,Accounting,26132,0.1,wgregh3@redcross.org,6147096505.0,Senior Developer,6663 Utah Junction,2022-05-09,,,,,
75-8118408,J,Nannette,Abriani,F,1997-12-10,United States,Services,53959,0.54,nabriani4@usgs.gov,9416505854.0,Help Desk Operator,07890 Dryden Court,2024-07-24,,,,,
58-8445429,J,Beryle,Kenryd,F,2000-07-11,United States,Business Development,27234,0.12,bkenryd5@berkeley.edu,5184535261.0,VP Accounting,9 Lotheville Junction,2021-11-01,,,,,
91-1361758,J,Collete,Stiles,F,1999-07-19,United States,Research and Development,66996,0.67,cstiles6@flavors.me,2068379977.0,VP Sales,14687 Moland Circle,2019-03-02,,,,,
56-6267907,J,Hallie,Alday,F,1998-11-14,United States,Sales,24200,0.08,halday7@squarespace.com,7127635869.0,Senior Financial Analyst,62435 Tony Street,2020-11-07,,,,,
31-2236475,J,Ray,Sprackling,M,1980-05-06,United States,Accounting,41035,0.92,rsprackling8@example.com,7072074622.0,Account Coordinator,1 Dottie Terrace,2022-08-14,,,,,
29-7137664,J,Thaddeus,Fishbourne,M,2002-09-06,United States,Product Management,17805,0.26,tfishbourne9@hc360.com,5716111543.0,Assistant Manager,57300 Carpenter Trail,2021-07-11,,,,,
40-5159364,K,Laurena,Basindale,F,1988-02-08,United States,Sales,27854,0.92,,,,,,6173215668.0,02162,CX-9,4.0,5883443204.0
43-8666961,K,Jone,Naul,M,1999-06-15,United States,Human Resources,32006,0.78,,,,,,5021898424.0,40287,F450,4.0,7092869786.0
08-3359811,K,Mina,Rosenfelt,F,2006-05-09,United States,Marketing,22759,0.97,,,,,,9183467993.0,74108,Spectra,2.0,8504748559.0
40-5480729,K,Artair,Kelson,M,1989-12-10,United States,Support,45212,0.72,,,,,,4041087742.0,30343,S40,2.0,4471001903.0
64-9432037,K,Ody,Affuso,M,1991-07-07,Haiti,Human Resources,35484,0.98,,,,,,6261731041.0,K,Rogue,1.0,2046083903.0
85-2993638,K,Lucien,Mattschas,M,1982-10-29,United States,Services,74704,0.89,,,,,,7146370748.0,92725,Econoline E150,3.0,9345744076.0
79-7972239,K,Herminia,Brookfield,F,1991-05-03,United States,Engineering,63737,0.49,,,,,,7638057332.0,55572,Prius,1.0,2609078509.0
56-5604977,K,Ardyce,Gooderidge,F,2003-11-04,Haiti,Product Management,32247,0.28,,,,,,5855545247.0,K,DBS,0.0,1412377682.0
53-5598738,K,Giulietta,Wigglesworth,F,1989-06-17,United States,Legal,68161,0.5,,,,,,3864312990.0,32128,GT,3.0,6871703441.0
95-3931114,K,Hilde,Symones,F,2001-03-15,Dominican Republic,Product Management,17295,0.25,,,,,,5898348909.0,11204,Eclipse,1.0,1834738376.0
86-7566129,L,Brandyn,Wraggs,M,1980-04-17,United States,Training,17427,0.86,,,,,,2066219879.0,53285,Park Avenue,0.0,7616646309.0
05-5140393,L,Dennis,Stanlock,M,1982-08-21,United States,Support,64352,0.05,,,,,,3026774708.0,19892,Quattroporte,1.0,7026845704.0
65-8990277,L,Janith,Fortoun,F,1980-01-12,United States,Engineering,78311,0.31,,,,,,2131491026.0,90055,B-Series,3.0,1925352581.0
81-2555816,L,Erich,Zohrer,M,1989-01-16,United States,Services,43126,0.65,,,,,,8062460591.0,79105,TL,4.0,1824239509.0
32-7274154,L,Weidar,Iacopetti,M,1988-07-29,United States,Research and Development,38614,0.23,,,,,,9546505771.0,33064,T100,1.0,4563587343.0
82-8733224,L,Carmelle,Phelipeau,F,1982-09-13,United States,Sales,70284,0.97,,,,,,3174532755.0,46202,Sentra,1.0,2384154793.0
26-7750002,L,Maximilien,Alesio,M,2001-07-23,Dominican Republic,Human Resources,60440,0.76,,,,,,9242261643.0,11805,Passport,0.0,2036374626.0
12-0301057,L,Bartholomeus,Bussons,M,1983-02-23,United States,Business Development,72516,0.61,,,,,,8628693996.0,7195,TSX,1.0,5347747913.0
82-6624786,L,Rhetta,Pietruszewicz,F,1999-01-27,United States,Research and Development,18178,0.22,,,,,,2101820320.0,78205,Escalade ESV,0.0,6793027593.0
30-9696679,L,Calley,MacCulloch,F,1984-10-31,United States,Engineering,41515,0.99,,,,,,2566671852.0,36205,XC70,3.0,7895109000.0
05-6134170,M,Gaylord,Hazeldene,M,2004-01-08,Dominican Republic,Research and Development,19993,0.86,,,,,,7249540912.0,11518,1500,0.0,5656340039.0
61-1074040,M,Thedrick,Dawdry,M,1990-09-05,United States,Legal,25098,0.71,,,,,,2022370700.0,20409,Silhouette,4.0,5067207409.0
71-5393627,M,Svend,Gramer,M,1984-06-28,Dominican Republic,Accounting,46710,0.7,,,,,,1025714865.0,11510,Fleetwood,1.0,7541642165.0
12-1816115,M,Leighton,Ramsbotham,M,1988-10-22,United States,Product Management,74901,0.19,,,,,,4323470451.0,79705,Touareg,0.0,2407951143.0
13-3806571,M,Granny,Pietranek,M,2005-07-07,United States,Engineering,38122,0.52,,,,,,8657504749.0,37914,Yukon,3.0,9812265313.0
94-4374770,M,Hans,Harbisher,M,1985-03-17,United States,Product Management,44740,0.81,,,,,,2151733414.0,19151,Gemini,2.0,6017825449.0
18-4327173,M,Zacherie,Parke,M,1995-08-17,United States,Sales,71543,0.33,,,,,,7866513614.0,33158,Tredia,0.0,1984193708.0
50-9573003,M,Pegeen,Salzburg,F,1986-05-13,United States,Sales,28041,0.97,,,,,,3135660513.0,48232,Suburban 1500,0.0,4074024707.0
33-0381277,M,Walker,Pelling,M,1980-02-12,United States,Human Resources,30857,0.38,,,,,,6822357157.0,76198,RX,2.0,9311699836.0
75-8628421,M,Frieda,Pybus,F,2006-05-06,United States,Training,53102,0.06,,,,,,4806008859.0,85260,Mark LT,0.0,6778928334.0
37-8092889,N,Nelson,Esome,M,1985-01-21,United States,Sales,60267,0.77,,,,,,2026456291.0,20220,CR-V,2.0,2671316311.0
60-2972643,N,Pennie,Chatain,M,1978-08-02,United States,Legal,13599,0.83,,,,,,9121772444.0,31416,C-Class,3.0,8705242293.0
73-7638593,N,Diannne,Wike,F,1996-11-22,United States,Product Management,74654,0.64,,,,,,9155589774.0,88525,Golf,4.0,6455942926.0
25-0830003,N,Nickey,McLoughlin,M,2000-04-18,United States,Training,65634,0.35,,,,,,6826699619.0,76198,Impreza,2.0,1872725051.0
22-5211774,N,Nolly,Morgan,M,2003-05-09,United States,Product Management,30204,0.15,,,,,,2604218376.0,46896,Forester,4.0,7401473273.0
09-6442939,N,Nevil,Josef,M,1993-10-30,United States,Marketing,57113,0.38,,,,,,2129665234.0,11499,Quattro,4.0,9811203800.0
46-2060669,N,Christalle,Halbard,F,1993-08-04,United States,Business Development,57216,0.03,,,,,,2106631219.0,78265,Expo,0.0,7668006840.0
12-1404658,N,Wallas,Symons,M,1989-09-08,United States,Human Resources,16364,0.89,,,,,,7637661161.0,55590,Cayman,4.0,7663380764.0
04-0135880,N,Twyla,Nind,F,2000-05-21,Dominican Republic,Business Development,60378,0.12,,,,,,7622196573.0,11205,GT-R,1.0,9568092636.0
70-8572197,N,Antoni,Swinyard,M,1985-09-04,United States,Research and Development,51825,0.51,,,,,,8148254672.0,16534,Caravan,4.0,4026983783.0
34-0256472,O,Carin,Coleyshaw,F,1996-01-13,United States,Support,46481,0.96,,,,,,2609044255.0,46862,Express 1500,2.0,5624629204.0
97-1323311,O,Hildagard,Insko,F,1975-11-04,United States,Human Resources,51110,0.18,,,,,,9106093535.0,28405,Grand Marquis,4.0,5691017889.0
35-2698868,O,Mora,Kinnin,F,2002-11-26,United States,Accounting,67335,0.5,,,,,,6262908682.0,91841,Seville,3.0,9236537032.0
97-2136523,O,Zulema,Dabbes,F,1978-07-27,Dominican Republic,Services,33618,0.0,,,,,,5526840434.0,11517,Silhouette,1.0,2282034665.0
80-2822904,O,Jill,Juan,F,1991-12-04,United States,Accounting,24012,0.08,,,,,,7131421959.0,77035,Explorer Sport Trac,1.0,3126283977.0
58-3268041,O,Kristal,Kingcote,F,2001-10-11,Dominican Republic,Research and Development,19715,0.76,,,,,,6273280199.0,11806,M-Class,4.0,9692180595.0
90-3827618,O,Otho,Caselli,M,1985-11-15,United States,Services,29267,0.58,,,,,,3236903307.0,90094,Grand Prix,3.0,7897675949.0
78-9151673,O,Rupert,Barsby,M,1986-04-15,Haiti,Legal,55874,0.98,,,,,,2562015502.0,O,Th!nk,0.0,3519162639.0
70-8330847,O,Dmitri,Delucia,M,1993-10-24,United States,Marketing,48442,0.67,,,,,,7147640405.0,93762,Econoline E150,0.0,7794433443.0
38-7030185,O,Jocelyn,Crees,F,1982-04-16,United States,Accounting,20398,0.32,,,,,,2602498903.0,46852,TL,2.0,7011684831.0
