id_venta,fecha_pedido,fecha_envio,nombre_cliente,apellido_cliente,correo_cliente,telefono_cliente,nacionalidad_cliente,vendedor,producto,cantidad,monto,impuesto,tipo_tarjeta,no_tarjeta
12,2024-05-15,2024-09-28,Cissy,Van der Brug,cvanderbrugb@e-recht24.de,8351641119,Colombia,32-1677298,Wine - Cotes Du Rhone Parallele,6,6544,0.502,mastercard,5048375450503262
13,2024-09-06,2024-02-11,Lotta,Haye,lhayec@mapquest.com,7146564302,United States,33-4532106,"Cup - 3.5oz, Foam",1,6466,0.489,mastercard,5108758247567111
14,2024-05-22,2024-03-03,Hillery,Willeson,hwillesond@cornell.edu,9018114100,United States,35-1306564,Syrup - Monin - Blue Curacao,2,10392,0.483,mastercard,5108755022166028
15,2024-10-13,2024-01-13,Gran,Beane,gbeanee@irs.gov,4027598989,Mexico,65-9086309,Parsnip,2,13100,0.43,mastercard,5108758306900153
16,2024-07-17,2023-12-11,Newton,Faulder,nfaulderf@oracle.com,9716696440,United States,04-5323286,Milk - Skim,3,11646,0.752,mastercard,5108756644551027
17,2024-01-11,2024-07-24,Layton,Lambrechts,llambrechtsg@ft.com,5133943517,United States,97-2136523,Cookies - Englishbay Oatmeal,10,8993,0.57,mastercard,5048372998402586
18,2024-08-08,2024-07-04,Adrianne,Frensch,afrenschh@cpanel.net,8166071318,United States,82-6624786,Chinese Foods - Plain Fried Rice,1,4541,0.577,mastercard,5048373316354749
19,2024-03-26,2024-01-30,Tremayne,Skates,tskatesi@parallels.com,9149012472,United States,91-9571840,"Tray - Foam, Square 4 - S",9,5906,0.458,mastercard,5108758462964001
20,2024-05-28,2024-05-01,Augustine,Scaplehorn,ascaplehornj@example.com,9702416859,Mexico,30-9696679,Wine - Prosecco Valdobienne,8,11229,0.408,mastercard,5108752493226746
21,2024-01-08,2024-05-18,Torr,Jorczyk,tjorczykk@slideshare.net,8278859425,Mexico,07-1716470,"Shrimp - 16/20, Peeled Deviened",5,9521,0.893,mastercard,5048374543067062
22,2024-06-16,2024-08-23,Giovanni,Lacheze,glachezel@soup.io,6418017696,Colombia,99-3140169,Eel Fresh,6,13517,0.729,mastercard,5048378620721723
23,2024-03-06,2024-09-15,Del,Nias,dniasm@netvibes.com,4807129831,United States,71-5393627,Nantuket Peach Orange,6,5796,0.608,mastercard,5048379261812565
24,2024-07-15,2023-12-20,Riane,Fittis,rfittisn@nbcnews.com,7205922892,Mexico,38-7030185,Vinegar - Rice,4,4191,0.795,mastercard,5108751448889020
25,2024-09-15,2024-04-07,Kellsie,Cauderlie,kcauderlieo@t.co,7034840905,United States,86-2640869,Quail - Jumbo Boneless,10,13736,0.427,mastercard,5108753103275966
26,2024-01-06,2024-02-15,Aloise,Furbank,afurbankp@miitbeian.gov.cn,5404547130,United States,27-7801766,"Ice - Clear, 300 Lb For Carving",3,3323,0.094,mastercard,5048373380884944
27,2024-09-25,2024-01-06,Kellby,Adey,kadeyq@icio.us,8068531651,United States,19-7854964,Mousse - Mango,3,13921,0.24,mastercard,5048377967545778
28,2024-09-11,2024-02-13,Judd,Levens,jlevensr@unblog.fr,8012125540,Colombia,99-7227153,Steamers White,10,13590,0.209,mastercard,5108753067619910
29,2024-04-10,2024-01-07,Dom,Woolger,dwoolgers@dailymotion.com,9596269976,Mexico,50-9573003,"Chicken - Leg, Boneless",9,13619,0.612,mastercard,5048372836996104
30,2024-09-16,2024-06-11,Beaufort,Rowson,browsont@shinystat.com,5866375757,Dominican Republic,16-5172594,Soupcontfoam16oz 116con,3,12304,0.016,mastercard,5108752771486780
31,2024-10-30,2024-07-09,Sianna,Feye,sfeyeu@cafepress.com,9661598848,Colombia,26-6370584,"Beans - Black Bean, Canned",3,4957,0.682,mastercard,5108752712941505
32,2024-10-10,2023-12-01,Katusha,Stonier,kstonierv@princeton.edu,1497799962,Colombia,04-4510077,Muffin Mix - Corn Harvest,9,3917,0.362,mastercard,5108752945707921
33,2024-04-01,2023-12-31,Koren,Wasmuth,kwasmuthw@1688.com,1267578167,Colombia,23-0049207,Milk - 2%,9,11244,0.324,mastercard,5048379323812108
34,2024-09-14,2024-05-29,Kurtis,Davidovsky,kdavidovskyx@wordpress.org,2973799260,Colombia,82-1705092,"Juice - Pineapple, 341 Ml",8,10829,0.321,mastercard,5108750815566005
35,2024-05-22,2024-05-02,Revkah,Hammell,rhammelly@histats.com,6511149145,Colombia,73-1937833,Island Oasis - Lemonade,1,7332,0.138,mastercard,5108751219713151
36,2024-01-31,2024-08-16,Meryl,Gowlett,mgowlettz@elegantthemes.com,9041662365,United States,22-5211774,Snapple - Iced Tea Peach,9,3209,0.733,mastercard,5108757575381178
37,2024-06-27,2024-07-15,Carolyne,Pash,cpash10@ovh.net,6583435873,Mexico,04-7509835,Lady Fingers,1,10369,0.055,mastercard,5108751669195230
38,2024-06-07,2024-01-13,Avictor,Disbrow,adisbrow11@com.com,4225640737,Mexico,99-7227153,Wine - Ice Wine,9,8549,0.269,mastercard,5048374595103302
39,2024-09-08,2024-06-07,Aindrea,O'Hearn,aohearn12@miitbeian.gov.cn,5851651266,United States,52-7669688,Wine - Port Late Bottled Vintage,3,12389,0.276,mastercard,5108759230232317
40,2024-04-13,2024-07-04,Aryn,Shernock,ashernock13@rambler.ru,5373042169,Colombia,18-4526273,Banana - Green,10,13847,0.501,mastercard,5048375963447999
41,2024-04-30,2023-12-05,Gal,Phonix,gphonix14@fema.gov,8134350279,United States,05-5140393,Capers - Ox Eye Daisy,3,5288,0.786,mastercard,5048377126945232
42,2024-02-03,2024-03-01,Ginnie,Treffrey,gtreffrey15@infoseek.co.jp,9496987801,United States,37-8092889,Sugar - Splenda Sweetener,1,14063,0.194,mastercard,5048377171906493
43,2024-11-12,2024-04-21,Gabby,Treversh,gtreversh16@naver.com,6146742810,Mexico,09-6442939,Sobe - Green Tea,3,5672,0.218,mastercard,5108757912066714
44,2024-07-10,2024-03-10,Lyndsey,Collomosse,lcollomosse17@domainmarket.com,5222587729,Mexico,14-7026110,Knife Plastic - White,9,10875,0.098,mastercard,5048372824378711
45,2024-02-02,2023-12-30,Maximilien,McGeever,mmcgeever18@facebook.com,3123919896,United States,99-3140169,Kumquat,4,9649,0.711,mastercard,5108757509949959
46,2024-11-29,2024-04-13,Mala,Brownsworth,mbrownsworth19@state.gov,9807820651,Mexico,29-8881205,Beer - Camerons Cream Ale,8,3989,0.939,mastercard,5108758029143867
47,2024-08-21,2024-03-14,Teddie,Dowding,tdowding1a@ca.gov,9075413394,United States,09-2503252,Guinea Fowl,3,11365,0.198,mastercard,5048378825387387
48,2024-02-15,2024-10-14,Ealasaid,Girvan,egirvan1b@amazon.co.uk,8129206537,Colombia,14-9023897,Daves Island Stinger,6,9003,0.377,mastercard,5108755621107258
49,2024-09-17,2024-05-04,Shepperd,Alexandersen,salexandersen1c@cbc.ca,4447476117,Colombia,73-1937833,Icecream Cone - Areo Chocolate,8,5974,0.209,mastercard,5108758683125101
50,2024-02-02,2024-09-20,Denise,Baton,dbaton1d@altervista.org,3686006220,Colombia,24-8238298,French Pastries,9,3149,0.688,mastercard,5108756083113123
51,2024-06-05,2024-07-01,Dena,Sabater,dsabater1e@dagondesign.com,3602752276,United States,81-7606557,Soupfoamcont12oz 112con,3,3161,0.179,mastercard,5108759831580759
52,2024-04-28,2024-01-02,Lynn,Southgate,lsouthgate1f@ustream.tv,4089786387,United States,43-5553068,Sausage - Liver,9,8024,0.079,mastercard,5108756961373245
53,2024-07-03,2024-04-10,Kalvin,Besson,kbesson1g@slate.com,5555093482,Mexico,89-4372466,Sauce - Cranberry,6,6494,0.727,mastercard,5108751232748846
54,2024-03-03,2024-03-11,Ginger,Doding,gdoding1h@shareasale.com,4156982741,United States,51-3662457,Lid - 3oz Med Rec,1,4384,0.445,mastercard,5048373547972129
55,2024-09-01,2024-11-03,Killy,Staniforth,kstaniforth1i@hibu.com,5041322003,Mexico,44-3478985,Chef Hat 25cm,10,12919,0.018,mastercard,5048371188450694
56,2024-06-02,2024-04-04,Brendon,Rodder,brodder1j@1688.com,1299782148,Mexico,33-9247082,Alize Sunset,6,10472,0.944,mastercard,5048374653724270
57,2024-02-23,2024-03-10,Paulita,Swash,pswash1k@pcworld.com,7406861670,Dominican Republic,12-1816115,Food Colouring - Green,6,4898,0.829,mastercard,5048370967144932
58,2024-10-19,2024-02-03,Vanessa,Mateev,vmateev1l@sourceforge.net,5612288875,United States,70-8330847,Soup - Verve - Chipotle Chicken,4,10962,0.412,mastercard,5108751755711429
59,2024-06-16,2024-01-14,Addie,Frodsham,afrodsham1m@ezinearticles.com,3135469074,United States,25-0830003,Miso Paste White,1,12722,0.038,mastercard,5048371352650798
60,2024-06-13,2024-01-25,Konstanze,O'Fearguise,kofearguise1n@webeden.co.uk,4249193485,Italy,24-1068083,"Doilies - 12, Paper",8,4277,0.755,mastercard,5048378356705999
61,2024-03-23,2024-11-02,Yvor,Caldicott,ycaldicott1o@jalbum.net,3104934240,United States,86-7566129,Cornstarch,9,10988,0.496,mastercard,5108750089633317
62,2024-04-14,2024-02-17,Akim,Elflain,aelflain1p@deviantart.com,5367138335,Colombia,07-1716470,"Carrots - Purple, Organic",9,6738,0.622,mastercard,5048373982065421
63,2024-11-26,2024-08-14,Roobbie,Vasichev,rvasichev1q@cam.ac.uk,4692213319,United States,70-8572197,Slt - Individual Portions,6,10252,0.68,mastercard,5108759163807481
64,2024-04-17,2023-12-07,Selig,Itzhayek,sitzhayek1r@de.vu,3593151443,Mexico,58-3345781,Veal - Leg,3,5428,0.226,mastercard,5108757253275445
65,2024-05-26,2024-07-06,Ted,Bonallick,tbonallick1s@ox.ac.uk,6612723800,United States,52-7669688,Triple Sec - Mcguinness,8,13308,0.842,mastercard,5048378258387268
66,2024-10-03,2023-12-12,Rayshell,McWilliams,rmcwilliams1t@tripadvisor.com,7372429556,Mexico,58-3268041,Glucose,4,10796,0.471,mastercard,5108754400748515
67,2024-02-16,2023-12-06,Ramona,Grundy,rgrundy1u@aol.com,4397198815,Dominican Republic,81-7606557,Dooleys Toffee,1,14003,0.036,mastercard,5048379367975100
68,2024-03-26,2024-06-20,Rozelle,Ginnell,rginnell1v@gizmodo.com,7644779138,Dominican Republic,85-2993638,Turkey Leg With Drum And Thigh,1,4296,0.897,mastercard,5048374685992572
69,2024-06-29,2024-10-17,Clyve,Nealand,cnealand1w@xing.com,2416436792,Mexico,04-1781862,Croissants Thaw And Serve,8,11988,0.444,mastercard,5108754182905374
70,2024-03-13,2024-05-18,Kahlil,Bradberry,kbradberry1x@soundcloud.com,8039410239,Mexico,10-0613342,"Pork - Sausage, Medium",5,5154,0.686,mastercard,5108756400396351
71,2024-03-24,2024-06-14,Ayn,Finlason,afinlason1y@networkadvertising.org,3162343208,Dominican Republic,43-5553068,Currants,9,11760,0.909,mastercard,5048371403284670
72,2024-02-04,2024-03-03,Goober,Boldero,gboldero1z@opensource.org,8715446533,Mexico,47-9054500,"Beans - Navy, Dry",2,8332,0.839,mastercard,5108756879596788
73,2024-04-21,2024-08-25,Leonhard,Stubbe,lstubbe20@guardian.co.uk,8655251985,Mexico,31-2236475,Pasta - Angel Hair,9,9002,0.732,mastercard,5048378778314669
74,2024-03-13,2024-03-02,Titos,MacElharge,tmacelharge21@imgur.com,9073751240,United States,29-0623737,Cornstarch,7,13565,0.827,mastercard,5108750466045663
75,2024-03-05,2024-11-07,Ronni,Kurtis,rkurtis22@dedecms.com,6827608142,United States,69-0699283,Clams - Canned,1,10977,0.968,mastercard,5108753309412124
76,2024-02-13,2024-03-11,Kata,Rodgier,krodgier23@fotki.com,2696417446,United States,37-8092889,Pears - Bartlett,1,12421,0.461,mastercard,5108751657508691
77,2024-08-10,2024-10-15,Gael,Gonning,ggonning24@cnet.com,1035475203,Mexico,44-3478985,Coffee - Hazelnut Cream,3,12507,0.264,mastercard,5108755073370594
78,2024-06-30,2024-07-01,Rodolphe,Scown,rscown25@51.la,5675898265,Mexico,18-4526273,Juice - Lime,7,11666,0.623,mastercard,5108759228878675
79,2024-11-25,2024-09-12,Ashlan,Nelthrop,anelthrop26@prweb.com,2533673963,United States,04-1781862,Cookie Dough - Chunky,4,13428,0.1,mastercard,5108753065583985
80,2024-07-07,2024-05-22,Roxine,Truss,rtruss27@cbsnews.com,7192404471,United States,33-9247082,Beer - Sleeman Fine Porter,2,5541,0.01,mastercard,5048379326385367
81,2024-04-26,2024-07-19,Gratia,Bohlje,gbohlje28@illinois.edu,1972495847,Colombia,78-5368317,"Apple - Delicious, Red",8,12246,0.505,mastercard,5108752442456105
82,2024-02-29,2024-01-03,Earvin,Corkel,ecorkel29@yelp.com,5124982094,United States,04-5323286,Beer - Creemore,5,5572,0.281,mastercard,5048376549887716
83,2024-01-18,2023-12-10,Trixy,Hamblyn,thamblyn2a@tripod.com,7478176548,Colombia,21-0517711,Burger Veggie,10,13246,0.041,mastercard,5048374290444779
84,2024-01-21,2024-04-14,Edmund,Pitrasso,epitrasso2b@dropbox.com,8489424301,Mexico,33-4532106,Lid - 0090 Clear,2,12700,0.746,mastercard,5108758023892394
85,2024-09-24,2024-06-07,Devonne,Tonbridge,dtonbridge2c@go.com,8587579694,United States,82-1705092,Flower - Potmums,5,10029,0.335,mastercard,5048375658133565
86,2024-11-19,2024-06-01,Maighdiln,Spinozzi,mspinozzi2d@nature.com,7023219664,United States,16-5172594,"Vinegar - Balsamic, White",3,13803,0.294,mastercard,5048375836465004
87,2024-01-19,2024-07-30,Rolfe,Hambright,rhambright2e@list-manage.com,1331179088,Mexico,29-8881205,Wine - Two Oceans Sauvignon,3,12553,0.504,mastercard,5048373679890040
88,2024-02-03,2024-05-09,Myca,Woodes,mwoodes2f@amazonaws.com,8128849385,United States,75-8628421,Vinegar - Rice,10,6634,0.894,mastercard,5108758914669109
89,2024-01-27,2024-06-11,Dana,Worster,dworster2g@wp.com,4405493780,Colombia,10-0613342,Goulash Seasoning,6,9505,0.583,mastercard,5048378187471019
90,2024-05-04,2024-05-25,Yard,Sibbald,ysibbald2h@qq.com,1127779271,Colombia,62-4197235,Wine - Sake,5,11798,0.723,mastercard,5108750569157134
91,2024-02-04,2024-01-17,Saxe,Marian,smarian2i@i2i.jp,9727517713,United States,09-2503252,Egg Patty Fried,10,12456,0.305,mastercard,5108757966774742
92,2024-09-04,2024-09-21,Flossi,McEachern,fmceachern2j@artisteer.com,6502830246,United States,87-7210605,Rabbit - Whole,2,9698,0.841,mastercard,5108753283985681
93,2024-03-29,2024-08-17,Hagan,Bromby,hbromby2k@myspace.com,2257849456,Mexico,58-3345781,Pancetta,6,6332,0.542,mastercard,5108759006508445
94,2024-07-29,2023-12-21,Katrina,Hannam,khannam2l@sciencedirect.com,6302391308,United States,05-6134170,Cheese Cheddar Processed,10,12117,0.158,mastercard,5108750122068216
95,2024-11-26,2024-01-09,Frederique,Dory,fdory2m@hatena.ne.jp,1717998636,Colombia,62-9191738,Fib N9 - Prague Powder,6,6705,0.058,mastercard,5048374074417686
96,2024-01-11,2024-02-13,Mehetabel,Huey,mhuey2n@about.com,6821956896,United States,99-8664666,Wine - Penfolds Koonuga Hill,10,5952,0.276,mastercard,5048372131150365
97,2024-07-15,2024-05-29,Isabelle,Redwall,iredwall2o@forbes.com,7933084983,Colombia,81-2555816,Nestea - Iced Tea,9,6080,0.248,mastercard,5048370098812944
98,2024-03-03,2024-10-08,Kevyn,Lethbridge,klethbridge2p@photobucket.com,2711924570,Colombia,13-3806571,Wine - Chateau Aqueria Tavel,6,4901,0.886,mastercard,5048374196982294
99,2024-03-14,2024-02-18,Urban,Lanegran,ulanegran2q@twitter.com,5692005064,Colombia,73-1937833,Strawberries - California,5,11799,0.001,mastercard,5048376667637695
100,2024-09-03,2024-09-05,Opaline,Balsillie,obalsillie2r@sourceforge.net,7874619208,Mexico,99-3140169,"Crab - Dungeness, Whole, live",6,7385,0.234,mastercard,5108757321347960
101,2024-04-07,2024-09-22,Audi,McCambrois,amccambrois2s@cbslocal.com,5694631067,Dominican Republic,78-5368317,Ice Cream - Super Sandwich,4,9568,0.422,mastercard,5108750496500489
102,2024-09-12,2024-03-01,Kristoffer,Rutherfoord,krutherfoord2t@blogtalkradio.com,5723299461,Colombia,34-2007879,Sage Derby,3,8967,0.534,mastercard,5108753489910822
103,2024-06-22,2024-03-15,Bernhard,Dawtrey,bdawtrey2u@netvibes.com,5236695079,Mexico,65-9086309,Bouillion - Fish,10,3368,0.857,mastercard,5108753646258305
104,2024-01-13,2024-08-09,Brana,Mugridge,bmugridge2v@smugmug.com,2028772400,United States,90-6094406,"Ecolab - Orange Frc, Cleaner",5,5956,0.719,mastercard,5108753610354502
105,2024-09-21,2024-09-26,Renaldo,Shallcroff,rshallcroff2w@123-reg.co.uk,8133462888,United States,78-9151673,Wine - German Riesling,8,9081,0.105,mastercard,5108750723703195
106,2024-08-25,2024-04-26,Lory,Rosenbush,lrosenbush2x@timesonline.co.uk,6837974753,Mexico,12-1404658,Nectarines,6,8055,0.934,mastercard,5108752435540451
107,2024-06-20,2024-08-10,Charity,Kennington,ckennington2y@foxnews.com,5274515528,Colombia,33-0381277,Yeast Dry - Fermipan,6,8935,0.845,mastercard,5108756804123104
108,2024-10-02,2024-07-13,Cynthie,Goldsbrough,cgoldsbrough2z@godaddy.com,4193959749,Mexico,23-0714269,Beef Striploin Aaa,1,6560,0.384,mastercard,5048372293172744
109,2024-06-02,2024-03-13,Jackelyn,Angrave,jangrave30@odnoklassniki.ru,6693142610,Colombia,56-6267907,Beef - Top Butt Aaa,6,3993,0.334,mastercard,5048378421109425
110,2024-11-21,2024-06-04,Red,Osmund,rosmund31@tuttocitta.it,1878663945,Mexico,29-7137664,Muffin - Banana Nut Individual,8,9247,0.863,mastercard,5048373498912868
111,2024-03-14,2024-01-19,Filmore,Dobbyn,fdobbyn32@dion.ne.jp,9147165838,Colombia,72-1063019,Flour - Bread,6,8477,0.323,mastercard,5048379328890547
112,2024-09-20,2024-04-11,Maryjo,Beaton,mbeaton33@cafepress.com,3174465923,Colombia,70-8330847,Sauce - Soy Low Sodium - 3.87l,7,11169,0.236,mastercard,5048373696506272
113,2024-04-09,2024-09-02,Aretha,Rosebotham,arosebotham34@wikispaces.com,8138290804,United States,34-2007879,Wine - Vidal Icewine Magnotta,3,3590,0.3,mastercard,5108758065089255
114,2024-11-29,2023-12-17,Nap,Binnes,nbinnes35@boston.com,2379556401,Colombia,14-8312422,Juice - Mango,1,4012,0.08,mastercard,5048372898099409
115,2024-10-04,2024-05-22,Yorgos,Littlefair,ylittlefair36@wiley.com,2397815709,United States,86-7566129,"Chicken - White Meat, No Tender",6,14054,0.629,mastercard,5048375777786418
116,2024-11-30,2024-01-16,Douglass,Giannazzo,dgiannazzo37@csmonitor.com,5049895868,United States,72-1063019,Container - Clear 16 Oz,9,9143,0.208,mastercard,5048378067230709
117,2024-06-19,2024-11-23,Benedetta,Rosberg,brosberg38@biblegateway.com,8165396503,United States,69-9087468,Vinegar - Sherry,7,8941,0.928,mastercard,5108753718848538
118,2024-04-30,2024-07-26,Puff,Shipston,pshipston39@scientificamerican.com,4175245166,Colombia,71-5393627,Tomato - Plum With Basil,1,6702,0.849,mastercard,5048376296868703
119,2024-11-24,2024-01-22,Melva,Meace,mmeace3a@ca.gov,2543453437,Dominican Republic,84-9995228,Sun - Dried Tomatoes,8,5513,0.707,mastercard,5048376693456177
120,2024-10-08,2024-02-09,Trev,Honywill,thonywill3b@people.com.cn,7755716210,United States,33-4532106,Ecolab - Medallion,10,5997,0.349,mastercard,5108751099951723
121,2024-01-24,2024-08-27,Bjorn,Bursnall,bbursnall3c@photobucket.com,6024202178,United States,36-5333346,Wine - Kwv Chenin Blanc South,8,5461,0.046,mastercard,5048372434781825
122,2024-05-21,2024-01-18,Murial,Matthisson,mmatthisson3d@globo.com,4124500155,United States,35-1306564,Parsnip,7,12444,0.616,mastercard,5108753506002421
123,2024-04-28,2024-06-30,Merwyn,Yerrill,myerrill3e@usgs.gov,6157057406,United States,29-8881205,Sauce - Mint,5,11972,0.943,mastercard,5108755432847654
124,2024-03-09,2024-10-01,Godfrey,Thumim,gthumim3f@vinaora.com,6049309196,Colombia,85-2993638,Lid Coffeecup 12oz D9542b,1,13429,0.14,mastercard,5048375917969072
125,2024-07-02,2024-07-02,Corbet,Dennidge,cdennidge3g@hibu.com,9476669645,Mexico,75-8628421,Prunes - Pitted,6,3807,0.88,mastercard,5048373769132303
126,2024-11-03,2024-08-02,Faunie,Jessett,fjessett3h@de.vu,8631439362,United States,07-1716470,Spice - Onion Powder Granulated,7,9111,0.512,mastercard,5048375692523011
127,2024-02-29,2024-03-23,Mikel,Corry,mcorry3i@about.com,9717580168,Mexico,22-5897994,Spinach - Frozen,5,9284,0.29,mastercard,5108758444146131
128,2024-03-29,2024-05-01,Merci,Dorie,mdorie3j@baidu.com,2455489504,Colombia,73-7638593,Turkey Tenderloin Frozen,6,3462,0.095,mastercard,5048378558110089
129,2024-03-10,2024-03-08,Joletta,Causey,jcausey3k@buzzfeed.com,5748773851,United States,85-2993638,Chicken - Ground,9,10052,0.772,mastercard,5108752881785576
130,2024-05-17,2024-05-26,Kiersten,Twinbrow,ktwinbrow3l@yellowpages.com,7732158066,Colombia,80-2822904,Coffee - Cafe Moreno,2,10878,0.494,mastercard,5108756834828425
131,2024-07-25,2024-09-25,Hi,Pethybridge,hpethybridge3m@cmu.edu,7027572335,United States,62-9191738,Bread - Assorted Rolls,1,14206,0.004,mastercard,5048379332771873
132,2024-04-30,2024-07-28,Pasquale,Fandrey,pfandrey3n@example.com,3171795248,United States,30-9696679,Rum - Mount Gay Eclipes,5,12034,0.252,mastercard,5048371760511913
133,2024-09-11,2024-03-09,Obidiah,Heyfield,oheyfield3o@sakura.ne.jp,6087519555,Mexico,65-9086309,Cilantro / Coriander - Fresh,10,10416,0.983,mastercard,5108756183987038
134,2024-02-11,2024-05-16,Deny,McNeillie,dmcneillie3p@lycos.com,2721992291,Colombia,35-6126375,Radish - Pickled,8,9686,0.595,mastercard,5108751696474657
135,2024-02-25,2023-12-18,Fernandina,Holsall,fholsall3q@squidoo.com,3308540690,United States,81-7606557,"Nut - Almond, Blanched, Sliced",9,12595,0.942,mastercard,5108758111622117
136,2024-05-25,2024-05-04,Noah,Killwick,nkillwick3r@yahoo.co.jp,6659078485,Colombia,44-3478985,Pork - Liver,3,6134,0.324,mastercard,5048374814031474
137,2024-08-04,2024-06-02,Elfrida,Tallyn,etallyn3s@amazon.co.jp,4377318435,Mexico,52-4537395,Ginsing - Fresh,5,12418,0.157,mastercard,5108751650521972
138,2024-11-17,2024-04-08,Lauraine,Gregersen,lgregersen3t@uol.com.br,4206300113,Mexico,30-9696679,Hummus - Spread,2,13157,0.651,mastercard,5108759337786306
139,2024-09-28,2024-03-15,Fancy,Lillico,flillico3u@ucsd.edu,8652945863,United States,52-7669688,Flour - So Mix Cake White,9,13438,0.454,mastercard,5048370322680612
140,2024-09-27,2024-07-12,Hugues,Viccars,hviccars3v@youku.com,3237074370,United States,02-4260277,Pork - Suckling Pig,8,7202,0.992,mastercard,5048376642316621
141,2024-04-27,2024-11-23,Nana,Claibourn,nclaibourn3w@vistaprint.com,9163159556,United States,21-8439190,Cookie Dough - Chunky,9,11490,0.989,mastercard,5108757020937103
142,2024-03-29,2024-08-28,Abbott,Bruckenthal,abruckenthal3x@biblegateway.com,9523887382,Colombia,98-6095003,Beef - Striploin,9,12542,0.053,mastercard,5108756319330228
143,2024-04-09,2024-04-07,Hailee,Olyfant,holyfant3y@weather.com,5836129052,Mexico,53-5598738,Kohlrabi,8,9584,0.66,mastercard,5048375796732161
144,2024-03-26,2024-10-06,Fidelio,Battye,fbattye3z@ucsd.edu,5578377012,Colombia,12-1404658,"Stock - Veal, White",4,4407,0.457,mastercard,5048370325699825
145,2024-05-07,2024-06-03,Cooper,Harrald,charrald40@constantcontact.com,5987579714,Colombia,90-3827618,Wine - Rhine Riesling Wolf Blass,2,7040,0.416,mastercard,5048378368597913
146,2024-11-24,2024-08-28,Fae,Sadgrove,fsadgrove41@state.tx.us,6163776431,Mexico,43-5553068,Pastry - Banana Tea Loaf,8,4471,0.845,mastercard,5048377442243031
147,2024-05-19,2024-02-29,Arielle,Mixter,amixter42@cdbaby.com,7754610834,United States,05-5140393,Flower - Commercial Bronze,6,11486,0.273,mastercard,5108754943254799
148,2024-06-01,2024-03-12,Dorothy,Rubinshtein,drubinshtein43@wufoo.com,4106532765,United States,99-8664666,"Nut - Almond, Blanched, Sliced",7,7656,0.118,mastercard,5048374282271214
149,2024-06-22,2024-02-02,Jonas,Tichner,jtichner44@opensource.org,4747460336,Colombia,09-2503252,Shiratamako - Rice Flour,10,5403,0.52,mastercard,5108751680447560
150,2024-01-22,2024-09-08,Winston,Francais,wfrancais45@drupal.org,5356110733,Mexico,72-1063019,Dc - Frozen Momji,6,7840,0.265,mastercard,5108751047189376
151,2024-07-13,2024-08-24,Eugenio,Ronci,eronci46@vk.com,2332218784,Mexico,52-7669688,Wine - Fat Bastard Merlot,6,5724,0.153,mastercard,5108759799850681
152,2024-09-04,2024-05-17,Alair,Bravey,abravey47@cmu.edu,5204107541,United States,52-4537395,Syrup - Chocolate,2,13989,0.341,mastercard,5108758019813586
153,2024-07-16,2024-03-26,Hali,Bennellick,hbennellick48@list-manage.com,2129547493,United States,18-4526273,Sugar - Fine,7,5702,0.803,mastercard,5108755239363616
154,2024-01-24,2024-10-22,Frasier,Koppes,fkoppes49@shutterfly.com,8134178284,United States,78-5459961,"Turnip - White, Organic",9,3831,0.691,mastercard,5048374724067337
